individual_id,deployment_id,tag_id,study_id,sensor_type_id,individual_local_identifier,tag_local_identifier,individual_taxon_canonical_name,acceleration_x,acceleration_y,acceleration_z,activity_count,comments,external_temperature,gps_satellite_count,ground_speed,gsm_signal_strength,height_above_ellipsoid,import_marked_outlier,location_lat,location_long,tag_voltage,timestamp,event_id,visible
128185109,130144786,130131267,128184877,653,"Belcho","48511832023","Ciconia ciconia",,,,104,"STBU02",25.0,,,99,,,7.146449,39.383349,4110.0,2015-12-20 03:00:00.000,1112716445,true
128185109,130144786,130131267,128184877,653,"Belcho","48511832023","Ciconia ciconia",,,,417,"STBU02",25.0,,,21,,,7.166616,39.372432,4140.0,2015-12-20 06:00:00.000,1112716446,true
128185109,130144786,130131267,128184877,653,"Belcho","48511832023","Ciconia ciconia",,,,417,"STBU02",26.0,,,21,,,7.251016,39.380832,4140.0,2015-12-20 09:00:00.000,1112716447,true
128185109,130144786,130131267,128184877,653,"Belcho","48511832023","Ciconia ciconia",,,,417,"STBU02",36.0,,,21,,,7.255766,39.379032,4140.0,2015-12-20 12:00:00.000,1112716448,true
128185109,130144786,130131267,128184877,653,"Belcho","48511832023","Ciconia ciconia",,,,417,"STBU02",27.0,,,21,,,7.230232,39.384549,4140.0,2015-12-20 15:00:00.000,1112716449,true
128185109,130144786,130131267,128184877,653,"Belcho","48511832023","Ciconia ciconia",,,,164,"STBU02",28.0,,,17,,,7.1536,39.386533,4100.0,2015-12-20 18:00:00.000,1112716450,true
128185109,130144786,130131267,128184877,653,"Belcho","48511832023","Ciconia ciconia",,,,164,"STBU02",27.0,,,17,,,7.154766,39.389099,4100.0,2015-12-20 21:00:00.000,1112716451,true
128185109,130144786,130131267,128184877,653,"Belcho","48511832023","Ciconia ciconia",,,,164,"STBU02",25.0,,,17,,,7.144749,39.380616,4100.0,2015-12-21 00:00:00.000,1112716452,true
128185109,130144786,130131267,128184877,653,"Belcho","48511832023","Ciconia ciconia",,,,164,"STBU02",24.0,,,17,,,7.144766,39.380649,4100.0,2015-12-21 03:00:00.000,1112716453,true
128185109,130144786,130131267,128184877,653,"Belcho","48511832023","Ciconia ciconia",,,,354,"STBU02",27.0,,,15,,,7.147383,39.384349,4140.0,2015-12-21 06:00:00.000,1112716454,true
128185109,130144786,130131267,128184877,653,"Belcho","48511832023","Ciconia ciconia",,,,354,"STBU02",24.0,,,15,,,7.038583,39.437683,4140.0,2015-12-21 09:00:00.000,1112716455,true
128185109,130144786,130131267,128184877,653,"Belcho","48511832023","Ciconia ciconia",,,,354,"STBU02",28.0,,,15,,,7.087499,39.293799,4140.0,2015-12-21 12:00:00.000,1112716456,true
128185109,130144786,130131267,128184877,653,"Belcho","48511832023","Ciconia ciconia",,,,354,"STBU02",29.0,,,15,,,7.084533,39.316566,4140.0,2015-12-21 15:00:00.000,1112716457,true
128185109,130144786,130131267,128184877,653,"Belcho","48511832023","Ciconia ciconia",,,,121,"STBU02",26.0,,,14,,,7.092583,39.310433,4110.0,2015-12-21 18:00:00.000,1112716458,true
128185109,130144786,130131267,128184877,653,"Belcho","48511832023","Ciconia ciconia",,,,121,"STBU02",25.0,,,14,,,7.094333,39.314633,4110.0,2015-12-21 21:00:00.000,1112716459,true
128185109,130144786,130131267,128184877,653,"Belcho","48511832023","Ciconia ciconia",,,,121,"STBU02",24.0,,,14,,,7.094316,39.314766,4110.0,2015-12-22 00:00:00.000,1112716460,true
128185109,130144786,130131267,128184877,653,"Belcho","48511832023","Ciconia ciconia",,,,121,"STBU02",23.0,,,14,,,7.080099,39.298249,4110.0,2015-12-22 03:00:00.000,1112716461,true
128185109,130144786,130131267,128184877,653,"Belcho","48511832023","Ciconia ciconia",,,,477,"STBU02",33.0,,,13,,,7.070082,39.30835,4140.0,2015-12-22 06:00:00.000,1112753151,true
128185109,130144786,130131267,128184877,653,"Belcho","48511832023","Ciconia ciconia",,,,477,"STBU02",45.0,,,13,,,7.061183,39.308816,4140.0,2015-12-22 09:00:00.000,1112753152,true
128185109,130144786,130131267,128184877,653,"Belcho","48511832023","Ciconia ciconia",,,,477,"STBU02",36.0,,,13,,,7.162166,39.283699,4140.0,2015-12-22 12:00:00.000,1112753153,true
128185109,130144786,130131267,128184877,653,"Belcho","48511832023","Ciconia ciconia",,,,477,"STBU02",28.0,,,13,,,7.1608,39.289733,4140.0,2015-12-22 15:00:00.000,1112753154,true
128185109,130144786,130131267,128184877,653,"Belcho","48511832023","Ciconia ciconia",,,,335,"STBU02",25.0,,,12,,,7.174632,39.285883,4100.0,2015-12-22 18:00:00.000,1113132024,true
128185109,130144786,130131267,128184877,653,"Belcho","48511832023","Ciconia ciconia",,,,335,"STBU02",25.0,,,12,,,7.1623,39.291033,4100.0,2015-12-22 21:00:00.000,1113132025,true
